to adabdon to	từ bỏ;bỏ;ruồng bỏ;bỏ lại
as a whole	toàn bộ;tất cả;nói chung 
as concerns	về việc;đối với;về
as early as	ngay từ đầu
as far as	xa tận;cho đến tận;đến chừng mà
as far as I'm concerned	về phần tôi 
as far as our knowledge goes	theo sự hiểu biết của chúng ta 
as far back as	lui tận về;từ rất lâu 
as for	về phía;về phần 
as to	về phía;về phần 
as from	kể từ;bắt đầu từ
as of	kể từ;bắt đầu từ
as if	như thể
as it happens	ngẫu nhiên mà;tình cờ mà 
as it is	cứ để nguyên như vậy
as it were	có thể là như vậy;có thể cho là như vậy 
as keen sportman	hăng say;phởn phơ;hí hửng 
as like as not	hẳn là;chắc hẳn là 
as long as	miễn là;chỉ cần là;với điều kiện là;chừng nào mà;bao lâu;một thời gian dài
so long as	miễn là;chỉ cần là;với điều kiện là;chừng nào mà;bao lâu;một thời gian dài
as luck would have it	thật là may;rất may;may mắn là;may thay
as memory serves	mỗi khi nhớ đến 
as merry as the day is long	vô cùng vui sướng 
as cheerful as the day is long	vô cùng vui sướng 
as lively as the day is long	vô cùng vui sướng 
as much again as	đắt gấp đôi 
many again as	đắt gấp đôi
as much as	cũng chừng ấy;cũng bằng ấy 
as occasion serves	khi có điều kiện thuận lợi 
as one man	nhất trí
as reagards	còn về;về mặt
as the case may be	tùy theo trường hợp có thể 
as the crow flies	theo đường chim bay;theo đường thẳng 
as the day is long	đặc biệt;vô hạn;vô cùng;hết sức 
as the tree, so the fruit	rau nào sau nấy 
as you sow, so shall you reap	trồng dưa được dưa, trồng đậu được đậu 
as though	dường như;như thể là 
as black as coal	đen như than;đen như quạ
as black as a crow	đen như than;đen như quạ
as black as ink	tối đen như mực 
as black as jet	đen nhánh như hạt huyền 
as black as midnight	tối đen như nửa đêm 
as black as pitch	đen như hác ín 
as black as soot	đen như bồ hóng 
as black as night	tối như đêm 30 
as blind as a bat	mù tịt;mù lòa;thông manh
as blind as a beetle	mù tịt;mù lòa;thông manh
as blind as a mole	mù tịt;mù lòa;thông manh
as bold as brass	mặt dày mày dạn;trơ tráo như gáo múc dầu 
as bold as a lion	táo bạo như sư tử
as brave as a lion	táo bạo như sư tử
as bright as a button	đẹp đẽ;lộng lẫy;đỏm dáng 
as bright as a new pin	đẹp đẽ;lộng lẫy;đỏm dáng 
as bright as a sixpence	đẹp đẽ;lộng lẫy;đỏm dáng 
as bright as day	tỏ như ban ngày;rõ như ban ngày;rành rành như ban ngày
as bright as the light	sáng tỏ như đèn
as bright as silver	sáng như bạc 
as brittle as glass	giòn tan như kính;mỏng manh như kính;dễ vỡ như gương 
as brown as berry	nâu bóng 
as busy as bee	bận rộn như ong 
as changeable as a moon	duy chuyển như mặt trăng
as changeable as a weatherrock	xoay như chong chóng 
as cheerful as a lark	vui như sáo
as cheerful as a cricket	vui như sáo
as clear as a bell	vang như chuông;rõ ràng;minh bạch;rõ
as clear as day	tỏ như ban ngày;rõ như ban ngày 
as cold as marble	lạnh như băng;không sức sống;không tình cảm
as cold as a stone	lạnh như băng;không sức sống;không tình cảm
as cool as a cucumber	bình tĩnh;không hề nao núng 
as close as herring	xếp chặt như nêm;chặt như nêm cối 
as cunning as a fox	ranh ma;quỷ quyệt;ranh như cáo 
as dark as midnight	tối om;tối thui 
as dead as a door nail	chết thật rồi;chết cứng rồi;mất hiệu lực;hết hiệu lực
as dead as a herring	chết thật rồi;chết cứng rồi;mất hiệu lực;hết hiệu lực
as dead as a nit	chết thật rồi;chết cứng rồi;mất hiệu lực;hết hiệu lực 
as deaf as a beetle	điếc đặc;điếc lòi ra
as deaf as a stone	điếc đặc;điếc lòi ra
as deaf as a post	điếc đặc;điếc lòi ra
as deep as a well	sâu như giếng 
as drunk as a lord	say khướt;say bí tỉ
as drunk as a fiddler	say khướt;say bí tỉ
as drunk as a fish	say khướt;say bí tỉ
as dry as a biscuit	khô cứng;khô đét;khô như ngói
as dry as a bone	khô cứng;khô đét;khô như ngói
as dry as dust	khô cứng;khô đét;khô như ngói
as dry as a mummy	khô cứng;khô đét;khô như ngói
as dry as a stick	khô cứng;khô đét;khô như ngói
as dumb as a statue	câm điếc;câm như thóc;câm như hến 
as easy as ABC	dễ như trở bàn tay;quá dễ 
as fair as a rose	tươi như hoa
as fair as a lily	tươi như hoa 
as fat as butter	phì nộm;béo như lợn 
as fat as a pig	béo như lợn;mập ú 
as fierce as a tiger	hung như beo 
as firrm as a rock	vững như bàn thạch 
as fit as a fiddle	khỏe như vâm;sung sức
as flat as a board	gầy đét;gầy giơ xương
as flat as a pancake	gầy đét;gầy giơ xương;gầy như mắm
as fleet as a deer	nhanh như hoẵng
as free us the air	tự do như không khí 
as fresh as a daisy	tưởi trẻ;tràn trề sức sống 
as fresh as a rose	tưởi trẻ;tràn trề sức sống 
as fresh as a paint	tưởi trẻ;tràn trề sức sống 
as fall as an egg	say mèm;say khướt;say bí tỉ 
as fall as an boot	say mèm;say khướt;say bí tỉ 
as fall as a tick	say mèm;say khướt;say bí tỉ 
as gaudy as a butterfly	dương dương tự đắc;khoe khoang 
as gaudy as a peacock	dương dương tự đắc;khoe khoang 
as gay as a lark	vui như sáo 
as gentle as a lamb	ngoan như cừu;hiền lành tử tế
as good as	hầu như;coi như;gần như 
as good as gold	quý như vàng;tốt bụng
as good as play	vui như hội 
as good as wheat	rất tốt;rất xứng đáng;rất thích hợp 
as graceful as a swan	đẹp như thiên nga 
as grasping as a miser	tham lam;keo kiệt 
as grave as ajudge	nghiêm nghị như quan tòa 
as greedy as a dog	tham ăn như chó 
as greedy as wolf	háu ăn như sói 
as gruff as a hear	hỗn như gấu 
as happy as a king	sung sướng nhất đời;sướng như vua 
as hard as flint	cứng như sắt đá
as hard as marble	cứng như sắt đá
as hard as a stone	cứng như sắt đá
as harmless as a dove	hiền dịu như chim bồ câu 
as heavy as lead	nặng như chì 
as hoarse as a crow	khàn khàn như quạ
as hot as fire	nóng như thiêu như đốt 
as hungry as a hunter	háu đói;đói cồn cào;đói cào ruột 
as innocent as adove	hiền dịu như chim bồ câu 
as large as life	to như vật thật 
as light as air	nhẹ tựa lông hồng 
as light as butterfly	nhẹ tựa lông hồng 
as light as feather	nhẹ tựa lông hồng 
as light as gossamer	nhẹ như tơ 
as like as two beans	giống nhau như đúc;giống nhau như hai giọt nước 
as like as two drops of water	giống nhau như đúc;giống nhau như hai giọt nước 
as loose as a rope of sand	vững chắc giả tạo;ảo giác;ảo tưởng 
as lound as thunder	vang rền như sấm 
as mad as a hatter	điên cuồng;rồ dại;phát điên;phát cuồng;hóa dại 
as merry as a cricket	vui như dế mèn;vui như hội;yêu đời 
as mute as a fish	câm đặc;câm như hến 
as mute as a mice	câm đặc;câm như hến 
as nervous as a cat	dễ xúc động;dễ kích động;dễ giận 
as obstinate as mule	cứng đầu cứng cổ;ngang bướng;bướng như lừa 
as stubborn as a mule	cứng đầu cứng cổ;ngang bướng;bướng như lừa 
as pale as a ghost	trắng bệch ra;bạc mặc ra 
as patient as Job	kiên nhẫn;chịu đựng
as patient as an ox	kiên nhẫn;chịu đựng
as plain as a pikestaff	rõ rành rành;rõ như ban ngày 
as plain as the nose on one's face	rõ rành rành 
as playful as a kitten	nghịch như mèo con 
as plentiful as bluckberries	sung túc;dồi dào;thừa mứa 
as plump as a partridge	tròn trĩnh như gà gô 
as poor as a church mouse	nghèo xác nghèo xơ 
as Job's turkey, as a rat	nghèo xác nghèo xơ
as pround as Lucifer	kiêu căng;kiêu ngạo 
as pround as a peacock	vênh vang như công 
as quick as a flash	nhanh như chớp 
as quick as thought	nhanh như chớp 
as quite as a lamb	ngoan như cừu con 
as quite as a mouse	lén lút như chuột 
as rapid as lightning	nhanh như chớp 
as red as blood	đỏ thắm 
as red as a cherry	đỏ thắm 
as red as a rose	đỏ thắm 
as regular as clock work	đều đều như đồng hồ 
as rich as Croesus	giàu nứt dố đổ vách;giàu như thạch sùng 
as rich as a jew	giàu nứt dố đổ vách;giàu như thạch sùng
as ripe as a cherry	chín mọng 
as round as an apple	tròn như táo 
as round as a ball	tròn như bóng 
as round as a globe	tròn như bóng 
as salt as brine	mặn như nước biển 
as salt as berring	mặn như nước biển 
as secret as the grave	kín như bưng;kín như nấm mồ 
as sharpe as a needle	thông minh;sắc sảo;sắc bén;sáng suốt 
as sharp as a razor	sắc như gươm 
as silent as the dead	câm như hến 
as silent as the grave	lặn như nấm mồ 
as silly as a goose	ngu như ngỗng
as silly as a sheep	ngu như cừu con 
as sleder as gossamer	mảnh như tơ 
as slippery as an eel	trơn như lươn;tháo vát;láu lỉnh 
as smooth as butter	trơn như đổ mỡ 
as smooth as glass	phẳng lì như kính 
as smooth as veivet	mịnh như lụa;mịn như nhung 
as sober as a judge	tỉnh táo;không thiên vị 
as soft as butter	mềm như bún 
as sound as a bell	kêu như chuông 
as sour as a crab	chua như mẻ;chu như dấm 
as sour as a vinegar	chua như mẻ;chu như dấm 
as steady as rock	vững như bàn thạch 
as stiff as a poker	cứng như khúc gỗ 
as stiff as a post	cứng như khúc gỗ 
as stiff as a ramrod	cứng như khúc gỗ 
as stiff as death	cứng đơ như xác chết 
as straight as an arrow	thẳng như tên bắn 
as straight as a bull	khỏe như trâu
as straight as a horse	khỏe như trâu
as straight as a lion	khỏe như trâu
as straight as an ox	khỏe như trâu
as stupid as a donkey	ngu như lừa 
as sure as death	chắc như đinh đóng cột 
as sure as eggs is eggs	chắc như đinh đóng cột 
as surly as a bear	gắt như mắm tôm 
as sweet as honey	ngọt như mía lùi;ngọt như mật
as sweet as sugar	ngọt như mía lùi;ngọt như mật
as swift as an arrow	nhanh như tên bắn;nhanh như gió;nhanh như chớp 
as swift as lightning thought	nhanh như tên bắn;nhanh như gió;nhanh như chớp 
as swift as the wind	nhanh như tên bắn;nhanh như gió;nhanh như chớp 
as tall again as	cao gấp đôi 
as tame as a cat	thuần tính như mèo 
as tender as a chicken	yếu ớt như gà con 
as thick as a cable	quá sung túc;thừa mứa
as thick as a hailstone	quá sung túc;thừa mứa
as thick as a black-berries	quá sung túc;thừa mứa
as thick as thieves	ăn ý với nhau 
as thin as a lath	gầy như que;gầy giơ xương
as thin as a rail	gầy như que;gầy giơ xương
as thin as a rake	gầy như que;gầy giơ xương
as thin as a thread-paper	gầy như que;gầy giơ xương
as thin as a whipping-post	gầy như que;gầy giơ xương
as thin as a water	mỏng tanh;mỏng dính 
as timid as a hare	nhát như cáy;nhát như thỏ 
as timid as a rabbit	nhát như cáy;nhát như thỏ 
as tough as leather	dai như da;bền;dai;khó nhai 
as tricky as monkey	ranh như khỉ
as true as steel	trung thành 
as ugly as a scarecrow	xấu như ma;xấu như quỷ
as ugly as a sin	xấu như ma;xấu như quỷ
as ugly as a toad	xấu như ma;xấu như quỷ
as unstable as water	không ổn định;như nước chảy mây trôi 
as vain as a peacock	dương dương tự đắc 
as warm as wool	ấm như len dạ 
as watchful as a hawk	cảnh giác như diều hâu 
as weak as a baby	yếu như sên 
as wet as a drowned rat	ướt như chuột lụt 
as white as a ghost	nhợt nhạt như đã chết;trắng nhợt như ma 
as while as snow	trắng như tuyết;trắng như bông 
as wise as before	chẳng biết gì hơn 
as wise as one wnet	chẳng biết gì hơn 
as wise as a serpent	không như mực 
as wise as a solomon	không ngoan;cáo già 
as yielding as wax	dễ uốn như sáp;mềm như sáp 
as to	về phần;về phía 
as well	cũng;cũng được;không hại gì;không vấn đề gì 
as yet	cho đến nay;cho đến bây giờ 
ascribe to	đổ tại;đổ cho;gán cho;quy cho
ashamed of	xấu hổ;hổ thẹn 
ashamed to	xấu hổ;ngượng 
aside from	ngoài ra;trừ ra;bên cạnh  
ask about	hỏi về 
ask after	hỏi thăm 
ask for	hỏi xin
ask for someone's hand	hỏi vợ 
ask for trouble	chuốc lấy phiền muộn 
ask from	hỏi xin;van xin
ask of	hỏi xin;van xin
ask me another!	không biết;chịu đấy
ask the banas	thông báo hôn nhân ở nhà thờ 
ask to	mời;mời mọc 
aspire after	thiết tha;mong mỏi;khao khát
aspire at	thiết tha;mong mỏi;khao khát
aspire to	thiết tha;mong mỏi;khao khát
assault on	tấn công dữ dội;cưỡng hiếp
